iter	Passed	Remaining
413	30918	43764
414	31001	43700
415	31030	43561
416	31108	43491
417	31153	43376
418	31170	43221
419	31251	43156
420	31328	43085
421	31404	43013
422	31477	42936
423	31546	42855
424	31619	42779
425	31712	42730
426	31789	42659
427	31863	42583
428	31900	42459
429	31944	42345
430	32012	42261
431	32088	42190
432	32168	42124
433	32248	42057
434	32328	41989
435	32403	41916
436	32476	41840
437	32500	41701
438	32570	41622
439	32637	41538
440	32711	41463
441	32792	41398
442	32871	41331
443	32952	41264
444	33025	41188
445	33039	41040
446	33103	40953
447	33172	40873
448	33237	40788
449	33306	40707
450	33384	40639
451	33467	40575
452	33494	40444
453	33589	40396
454	33622	40273
455	33691	40193
456	33764	40118
457	33829	40034
458	33901	39957
459	33949	39854
460	34000	39753
461	34072	39677
462	34150	39608
463	34231	39543
464	34300	39463
465	34318	39326
466	34396	39257
467	34465	39179
468	34545	39111
469	34572	38985
470	34650	38917
471	34729	38849
472	34805	38778
473	34875	38700
474	34950	38629
475	35035	38568
476	35127	38515
477	35219	38461
478	35296	38391
479	35351	38297
480	35420	38218
481	35496	38147
482	35565	38068
483	35645	38002
484	35730	37940
485	35805	37868
486	35898	37814
487	35929	37696
488	36031	37652
489	36119	37594
490	36191	37518
491	36223	37401
492	36304	37335
493	36387	37271
494	36413	37148
495	36541	37131
496	36618	37060
497	36808	37104
498	36953	37101
499	37080	37080
500	37179	37031
501	37326	37028
502	37415	36969
503	37499	36904
504	37595	36851
505	37687	36794
506	37788	36745
507	37902	36708
508	38001	36657
509	38120	36625
510	38225	36579
511	38355	36557
512	38460	36511
513	38539	36439
514	38600	36351
515	38692	36292
516	38786	36236
517	38880	36178
518	39011	36155
519	39112	36104
520	39203	36042
521	39305	35992
522	39371	35908
523	39488	35870
524	39657	35880
525	39806	35871
526	39928	35837
527	40014	35770
528	40104	35707
529	40193	35642
530	40283	35579
531	40366	35510
532	40447	35438
533	40524	35364
534	40614	35300
535	40702	35234
536	40717	35106
537	40824	35057
538	40934	35010
539	41030	34951
540	41076	34850
541	41158	34779
542	41224	34695
543	41325	34640
544	41429	34588
545	41610	34599
546	41702	34536
547	41831	34503
548	41912	34430
549	42000	34364
550	42090	34298
551	42132	34194
552	42211	34120
553	42260	34022
554	42325	33936
555	42411	33868
556	42477	33783
557	42570	33720
558	42683	33673
559	42776	33610
560	42880	33555
561	43027	33533
562	43100	33454
563	43232	33420
564	43460	33460
565	43600	33432
566	43658	33340
567	43730	33260
568	43772	33156
569	43851	33080
570	43904	32985
571	44275	33129
572	44349	33049
573	44421	32967
574	44496	32888
575	44668	32880
576	44827	32863
577	44898	32780
578	44911	32655
579	44955	32554
580	45015	32464
581	45093	32386
582	45143	32289
583	45244	32228
584	45316	32147
585	45423	32090
586	45525	32030
587	45616	31962
588	45694	31885
589	45755	31796
590	45829	31716
591	45875	31616
592	45950	31537
593	46034	31464
594	46118	31391
595	46195	31313
596	46258	31226
597	46357	31163
598	46469	31108
599	46619	31079
600	46748	31036
601	46881	30994
602	46965	30921
603	47054	30850
604	47133	30772
605	47240	30713
606	47314	30633
607	47487	30616
608	47595	30558
609	47625	30449
610	47706	30372
611	47855	30339
612	48009	30309
613	48147	30268
614	48265	30215
615	48366	30150
616	48474	30090
617	48535	30000
618	48617	29924
619	48649	29817
620	48750	29752
621	48838	29679
622	48938	29614
623	49016	29535
624	49142	29485
625	49195	29391
626	49328	29345
627	49434	29282
628	49467	29176
629	49554	29103
630	49667	29045
631	49765	28977
632	50020	29000
633	50176	28966
634	50265	28892
635	50348	28815
636	50744	28917
637	50925	28894
638	51011	28818
639	51102	28745
640	51203	28677
641	51272	28591
642	51357	28514
643	51446	28439
644	51522	28357
645	51639	28297
646	51727	28222
647	51885	28184
648	52010	28129
649	52173	28093
650	52299	28037
651	52458	27999
652	52505	27901
653	52625	27841
654	52847	27835
655	52951	27767
656	53163	27755
657	53355	27732
658	53518	27693
659	53682	27654
660	53852	27618
661	53976	27559
662	54074	27485
663	54161	27406
664	54257	27332
665	54345	27254
666	54400	27159
667	54492	27082
668	54546	26987
669	54634	26909
670	54743	26841
671	54794	26744
672	54906	26678
673	54979	26592
674	55043	26502
675	55172	26443
676	55291	26380
677	55340	26282
678	55439	26209
679	55523	26128
680	55660	26072
681	55769	26004
682	55902	25946
683	56047	25893
684	56155	25823
685	56235	25740
686	56325	25662
687	56389	25571
688	56444	25477
689	56542	25403
690	56639	25328
691	56681	25228
692	56736	25134
693	56773	25032
694	56827	24938
695	56940	24870
696	57041	24797
697	57153	24728
698	57283	24667
699	57424	24610
700	57542	24543
701	57635	24466
702	57735	24392
703	57824	24312
704	57924	24237
705	58011	24157
706	58110	24082
707	58218	24011
708	58299	23928
709	58383	23846
710	58471	23766
711	58549	23682
712	58603	23589
713	58692	23509
714	58778	23429
715	58869	23350
716	58949	23267
717	59036	23186
718	59118	23104
719	59194	23020
720	59266	22934
721	59345	22850
722	59426	22767
723	59490	22678
724	59564	22593
725	59633	22506
726	59703	22419
727	59780	22335
728	59857	22251
729	59896	22153
730	59970	22068
731	60039	21981
732	60119	21898
733	60230	21827
734	60270	21730
735	60347	21646
736	60417	21560
737	60490	21474
738	60569	21392
739	60610	21295
740	60680	21209
741	60772	21131
742	60853	21048
743	60929	20964
744	61001	20879
745	61063	20791
746	61140	20707
747	61217	20624
748	61261	20529
749	61332	20444
750	61411	20361
751	61487	20277
752	61562	20193
753	61634	20108
754	61711	20025
755	61792	19943
756	61820	19844
757	61908	19764
758	61980	19680
759	62054	19596
760	62128	19512
761	62203	19428
762	62284	19346
763	62360	19263
764	62384	19163
765	62495	19091
766	62561	19004
767	62658	18928
768	62728	18842
769	62807	18760
770	62885	18677
771	62959	18594
772	63030	18509
773	63096	18423
774	63167	18339
775	63217	18248
776	63265	18157
777	63335	18072
778	63408	17988
779	63431	17890
780	63507	17808
781	63574	17722
782	63598	17625
783	63655	17537
784	63736	17456
785	63764	17360
786	63804	17268
787	63873	17184
788	63941	17099
789	64006	17014
790	64076	16930
791	64144	16845
792	64207	16760
793	64274	16675
794	64341	16591
795	64379	16499
796	64443	16414
797	64509	16329
798	64592	16249
799	64635	16158
800	64699	16073
801	64733	15981
802	64790	15895
803	64856	15810
804	64928	15727
805	65013	15648
806	65077	15563
807	65157	15482
808	65222	15398
809	65286	15314
810	65353	15230
811	65376	15136
812	65447	15053
813	65523	14972
814	65620	14895
815	65701	14815
816	65762	14730
817	65839	14648
818	65872	14557
819	65939	14474
820	65982	14386
821	66046	14302
822	66087	14213
823	66161	14131
824	66195	14041
825	66258	13957
826	66290	13867
827	66354	13783
828	66417	13700
829	66480	13616
830	66546	13533
831	66616	13451
832	66645	13361
833	66715	13279
834	66784	13196
835	66847	13113
836	66870	13022
837	66937	12940
838	67001	12857
839	67064	12774
840	67129	12691
841	67195	12609
842	67261	12526
843	67326	12444
844	67394	12362
845	67460	12279
846	67526	12197
847	67560	12109
848	67603	12023
849	67667	11941
850	67732	11859
851	67796	11776
852	67859	11694
853	67925	11612
854	67993	11530
855	68045	11446
856	68110	11365
857	68176	11283
858	68242	11201
859	68309	11120
860	68377	11038
861	68449	10958
862	68519	10877
863	68586	10795
864	68609	10707
865	68674	10626
866	68742	10545
867	68806	10463
868	68869	10381
869	68932	10300
870	69005	10220
871	69068	10138
872	69133	10057
873	69202	9976
874	69266	9895
875	69332	9814
876	69397	9733
877	69461	9651
878	69532	9571
879	69596	9490
880	69661	9409
881	69725	9328
882	69788	9247
883	69859	9167
884	69923	9086
885	69987	9005
886	70010	8919
887	70075	8838
888	70142	8757
889	70211	8677
890	70256	8594
891	70312	8513
892	70385	8433
893	70451	8353
894	70513	8272
895	70580	8192
896	70645	8112
897	70709	8031
898	70773	7951
899	70842	7871
900	70907	7791
901	70971	7710
902	71025	7629
903	71092	7549
904	71125	7466
905	71189	7386
906	71254	7306
907	71318	7226
908	71388	7146
909	71457	7067
910	71515	6986
911	71580	6906
912	71641	6826
913	71704	6746
914	71768	6666
915	71832	6587
916	71899	6507
917	71965	6428
918	72032	6348
919	72094	6269
920	72161	6189
921	72225	6110
922	72297	6031
923	72361	5951
924	72429	5872
925	72495	5793
926	72559	5713
927	72622	5634
928	72688	5555
929	72753	5476
930	72816	5396
931	72879	5317
932	72944	5238
933	73007	5158
934	73074	5080
935	73141	5001
936	73213	4922
937	73335	4847
938	73400	4768
939	73467	4689
940	73502	4608
941	73567	4529
942	73630	4450
943	73693	4371
944	73757	4292
945	73827	4214
946	73898	4135
947	73933	4055
948	74009	3977
949	74050	3897
950	74117	3818
951	74183	3740
952	74249	3661
953	74316	3583
954	74379	3504
955	74444	3426
956	74518	3348
957	74587	3269
958	74661	3192
959	74733	3113
960	74814	3036
961	74881	2957
962	74947	2879
963	75010	2801
964	75075	2722
965	75113	2643
966	75177	2565
967	75241	2487
968	75306	2409
969	75372	2331
970	75434	2252
971	75499	2174
972	75565	2096
973	75633	2018
974	75697	1940
975	75760	1862
976	75823	1784
977	75884	1707
978	75949	1629
979	76013	1551
980	76079	1473
981	76142	1395
982	76207	1317
983	76270	1240
984	76342	1162
985	76413	1084
986	76478	1007
987	76542	929
988	76606	852
989	76673	774
990	76741	696
991	76812	619
992	76877	541
993	76941	464
994	77004	386
995	77068	309
996	77134	232
997	77205	154
998	77270	77
999	77334	0
